max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cindex,std_cindex,time_s
sqrt,12,12,400,0.5958590803695415,0.08975798766173687,4.265910625457764
sqrt,12,8,400,0.5958590803695415,0.08975798766173687,4.001013517379761
sqrt,12,4,400,0.5958590803695415,0.08975798766173687,4.0347065925598145
0.5,12,4,200,0.5958409667521783,0.09993018076749355,2.9255287647247314
0.5,12,12,200,0.5958409667521783,0.09993018076749355,3.6603872776031494
0.5,12,8,200,0.5958409667521783,0.09993018076749355,3.630884885787964
,7,4,200,0.594336924453894,0.1139390780567194,3.9422099590301514
,7,8,200,0.594336924453894,0.1139390780567194,3.826746702194214
,7,12,200,0.594336924453894,0.1139390780567194,3.389533042907715
,7,4,400,0.5937740648844227,0.1111566469561338,7.8292765617370605
,7,8,400,0.5937740648844227,0.1111566469561338,6.057796478271484
,7,12,400,0.5937740648844227,0.1111566469561338,5.986264228820801
sqrt,7,12,200,0.5936005442170822,0.09339481896023683,3.1164705753326416
sqrt,7,8,200,0.5936005442170822,0.09339481896023683,3.032320261001587
sqrt,7,4,200,0.5936005442170822,0.09339481896023683,2.4548521041870117
0.5,7,12,200,0.5921735106698071,0.10475138084629211,3.005465507507324
0.5,7,4,200,0.5921735106698071,0.10475138084629211,2.3264167308807373
0.5,7,8,200,0.5921735106698071,0.10475138084629211,2.186420440673828
,7,8,800,0.591682315715028,0.11335019554414565,11.492072582244873
,7,4,800,0.591682315715028,0.11335019554414565,15.380337953567505
,7,12,800,0.591682315715028,0.11335019554414565,11.19906497001648
sqrt,7,4,800,0.5890392039111181,0.10204645497784195,9.509442806243896
sqrt,7,12,800,0.5890392039111181,0.10204645497784195,9.643096685409546
sqrt,7,8,800,0.5890392039111181,0.10204645497784195,12.526868343353271
sqrt,7,8,400,0.5865003502664418,0.0978623351025439,5.899016380310059
sqrt,7,12,400,0.5865003502664418,0.0978623351025439,4.191524505615234
sqrt,7,4,400,0.5865003502664418,0.0978623351025439,4.57077431678772
,3,12,200,0.5837833488174529,0.11847688730604282,7.375153303146362
0.5,3,4,400,0.5828985114949629,0.11072627055848781,4.804700136184692
0.5,3,4,200,0.5813501205875046,0.10878972392051721,2.554962158203125
0.5,3,12,800,0.5806503404365349,0.1094142596153711,9.725843906402588
0.5,3,4,800,0.5806403556829378,0.11411125776977361,9.044081926345825
,3,12,400,0.5784061817182164,0.11821506624983025,5.90781307220459
sqrt,3,4,200,0.578302159567889,0.10903792417358267,2.694838285446167
0.5,3,8,800,0.5782513410240225,0.11063067823449531,8.96006178855896
,3,8,200,0.5780900886045692,0.11657150072503912,7.583149433135986
0.5,3,12,200,0.5775747641976958,0.10562398712616052,2.378732919692993
,3,8,400,0.576120194372612,0.11308211379410246,14.223701477050781
,3,12,800,0.5758951325293586,0.11551473977284474,10.585875034332275
0.5,3,12,400,0.5758394255642234,0.10149058520293386,5.4761292934417725
0.5,3,8,200,0.5758013630796135,0.11578487962720942,2.7274169921875
,3,8,800,0.5750466842429189,0.1169435316551453,27.725380897521973
,3,4,200,0.5749159523961064,0.11377874116670159,2.9646191596984863
,3,4,800,0.5725371981504014,0.11194640763628295,21.205188035964966
,3,4,400,0.5724156279860242,0.10716593200782318,5.729889869689941
0.5,3,8,400,0.5715956718210088,0.11112673228757562,4.797600269317627
sqrt,3,12,200,0.5699669263452172,0.10582279113086551,5.275338888168335
sqrt,3,8,800,0.5687377562163708,0.0990751480914378,21.222979307174683
sqrt,3,4,400,0.5685163512701807,0.1082365104209748,4.779415845870972
sqrt,3,8,200,0.5679444642814928,0.11638611989763673,5.235163450241089
sqrt,3,12,400,0.5674686675766913,0.09998428129550539,4.760870695114136
sqrt,3,4,800,0.5670044286866831,0.10140591445023744,14.364234447479248
sqrt,3,12,800,0.5651397433064846,0.10158234562958297,11.09399676322937
sqrt,3,8,400,0.558559504000499,0.10751696936759016,10.752048254013062
